,shop_name,shop_id,city,city_id,latitude,longitude
2,"Адыгея ТЦ ""Мега""",2,Адыгея,1,45.01274,38.93038
3,"Балашиха ТРК ""Октябрь-Киномир""",3,Балашиха,2,55.79361,37.93888
4,"Волжский ТЦ ""Волга Молл""",4,Волжский,3,48.77194,44.79982
5,"Вологда ТРЦ ""Мармелад""",5,Вологда,4,59.21163,39.88039
6,"Воронеж (Плехановская, 13)",6,Воронеж,5,51.66362,39.19727
7,"Воронеж ТРЦ ""Максимир""",7,Воронеж,5,51.69688,39.27325
8,"Воронеж ТРЦ Сити-Парк ""Град""",8,Воронеж,5,51.78888,39.205
9,Выездная Торговля,9,Выездная,6,,
10,Жуковский ул. Чкалова 39м?,10,Жуковский,7,55.59706,38.12364
12,Интернет-магазин ЧС,12,Интернет-магазин,8,,
13,"Казань ТЦ ""Бехетле""",13,Казань,9,55.86305,49.08472
14,"Казань ТЦ ""ПаркХаус"" II",14,Казань,9,55.82949,49.11786
15,"Калуга ТРЦ ""XXI век""",15,Калуга,10,54.5161,36.24651
16,"Коломна ТЦ ""Рио""",16,Коломна,11,55.08425,38.80061
17,"Красноярск ТЦ ""Взлетка Плаза""",17,Красноярск,12,56.03447,92.90775
18,"Красноярск ТЦ ""Июнь""",18,Красноярск,12,56.03726,92.93454
19,"Курск ТЦ ""Пушкинский""",19,Курск,13,51.73799,36.19242
20,"Москва ""Распродажа""",20,Москва,14,55.66563,37.41892
21,"Москва МТРЦ ""Афи Молл""",21,Москва,14,55.74895,37.53973
22,Москва Магазин С21,22,Москва,14,55.74118,37.65845
23,"Москва ТК ""Буденовский"" (пав.А2)",23,Москва,14,55.75813,37.74126
24,"Москва ТК ""Буденовский"" (пав.К7)",24,Москва,14,55.75813,37.74126
25,"Москва ТРК ""Атриум""",25,Москва,14,55.75726,37.65908
26,"Москва ТЦ ""Ареал"" (Беляево)",26,Москва,14,55.64377,37.52646
27,"Москва ТЦ ""МЕГА Белая Дача II""",27,Москва,14,55.65831,37.84521
28,"Москва ТЦ ""МЕГА Теплый Стан"" II",28,Москва,14,55.60423,37.49197
29,"Москва ТЦ ""Новый век"" (Новокосино)",29,Москва,14,55.73775,37.85707
30,"Москва ТЦ ""Перловский""",30,Москва,14,55.8919,37.72758
31,"Москва ТЦ ""Семеновский""",31,Москва,14,55.78283,37.72031
32,"Москва ТЦ ""Серебряный Дом""",32,Москва,14,55.78212,37.70407
33,"Мытищи ТРК ""XL-3""",33,Мытищи,15,55.91656,37.7576
34,"Н.Новгород ТРЦ ""РИО""",34,Н.Новгород,16,56.318,43.92523
35,"Н.Новгород ТРЦ ""Фантастика""",35,Н.Новгород,16,56.3073,44.07486
36,"Новосибирск ТРЦ ""Галерея Новосибирск""",36,Новосибирск,17,55.04374,82.9226
37,"Новосибирск ТЦ ""Мега""",37,Новосибирск,17,54.96428,82.93629
38,"Омск ТЦ ""Мега""",38,Омск,18,54.97196,73.28437
39,"РостовНаДону ТРК ""Мегацентр Горизонт""",39,РостовНаДону,19,47.25972,39.71944
41,"РостовНаДону ТЦ ""Мега""",41,РостовНаДону,19,47.28998,39.847
42,"СПб ТК ""Невский Центр""",42,СПб,20,59.93171,30.35945
43,"СПб ТК ""Сенная""",43,СПб,20,59.92512,30.32068
44,"Самара ТЦ ""Мелодия""",44,Самара,21,53.20906,50.13696
45,"Самара ТЦ ""ПаркХаус""",45,Самара,21,53.23338,50.20075
46,"Сергиев Посад ТЦ ""7Я""",46,Сергиев,22,56.30355,38.13323
47,"Сургут ТРЦ ""Сити Молл""",47,Сургут,23,61.2394,73.37383
48,"Томск ТРЦ ""Изумрудный Город""",48,Томск,24,56.48861,84.97914
49,"Тюмень ТРЦ ""Кристалл""",49,Тюмень,25,57.11524,65.54937
50,"Тюмень ТЦ ""Гудвин""",50,Тюмень,25,57.14879,65.56001
51,"Тюмень ТЦ ""Зеленый Берег""",51,Тюмень,25,57.17011,65.56733
52,"Уфа ТК ""Центральный""",52,Уфа,26,54.73637,55.95607
53,"Уфа ТЦ ""Семья"" 2",53,Уфа,26,54.7497,56.00021
54,"Химки ТЦ ""Мега""",54,Химки,27,55.91101,37.39648
55,Цифровой склад 1С-Онлайн,55,Цифровой,28,,
56,"Чехов ТРЦ ""Карнавал""",56,Чехов,29,55.15336,37.45925
57,"Якутск Орджоникидзе, 56",57,Якутск,30,62.02509,129.72024
58,"Якутск ТЦ ""Центральный""",58,Якутск,30,62.03048,129.74128
59,"Ярославль ТЦ ""Альтаир""",59,Ярославль,31,57.69779,39.75896
